CASEID,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65
    1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1
    2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
    3,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
    4,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
    5,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
    6,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
    7,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
    8,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
    9,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   10,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   11,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   12,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   13,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2
   14,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   15,1,1,2,2,2,2,2,2,2,2,2,1,7,2,2,2,2,2,7
   16,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   17,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   18,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   19,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   20,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   21,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   22,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   23,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   24,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2
   25,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1
   26,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   27,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   28,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   29,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   30,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   31,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   32,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   33,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   34,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   35,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   36,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   37,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   38,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   39,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   40,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   41,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2
   42,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   43,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   44,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   45,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   46,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   47,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   48,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   49,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   50,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   51,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   52,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   53,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   54,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   55,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   56,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   57,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   58,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   59,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   60,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   61,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   62,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   63,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   64,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   65,2,7,2,2,2,2,2,7,2,2,2,7,6,6,6,6,6,6,6
   66,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   67,1,2,1,2,2,2,2,2,2,7,2,1,2,1,1,2,2,2,1
   68,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   69,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   70,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   71,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1
   72,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   73,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   74,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   75,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   76,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   77,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   78,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1
   79,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
   80,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
