CASEID,cip_10,agegr10,luc_rst,prv,region,sex,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25
    1,2,2,1,"59",5,1,3,2,1,2,2,3,1,2,5,5, 5,4
    2,1,2,3,"11",1,2,2,1,1,1,1,1,1,1,5,4, 5,4
    3,2,2,1,"35",3,1,2,1,2,7,1,3,2,2,5,3, 4,2
    4,2,5,2,"24",2,2,2,2,1,2,1,1,1,1,5,5, 6,2
    5,2,5,2,"48",4,2,3,2,2,2,7,2,2,2,5,5, 5,1
    6,2,6,1,"12",1,2,3,2,1,1,1,1,1,7,5,4, 6,3
    7,1,2,1,"47",4,1,1,2,1,1,1,1,1,1,5,3, 3,2
    8,1,5,2,"10",1,2,2,2,1,1,1,2,1,1,5,4, 6,1
    9,2,5,2,"12",1,2,4,1,2,2,2,2,2,2,5,5, 5,4
   10,1,2,1,"35",3,1,1,2,1,1,2,2,1,2,5,3, 3,1
   11,1,5,1,"35",3,1,2,2,2,1,1,2,2,2,5,3, 4,1
   12,2,5,1,"35",3,1,2,1,2,2,2,2,2,2,5,4, 6,2
   13,1,3,1,"47",4,1,1,2,1,1,1,1,1,1,5,5, 5,3
   14,4,4,1,"12",1,2,3,2,3,2,1,1,1,3,5,2, 4,1
   15,1,3,1,"35",3,1,1,1,1,1,1,1,1,1,4,4, 4,3
   16,2,2,1,"12",1,1,2,2,2,2,1,2,1,2,5,4, 5,2
   17,3,1,1,"35",3,1,2,2,2,2,3,2,2,3,5,4, 4,3
   18,2,3,1,"12",1,2,1,2,1,1,2,1,1,2,5,4, 5,4
   19,1,3,1,"24",2,1,2,1,1,1,1,1,1,1,5,4, 4,3
   20,2,6,1,"35",3,2,2,2,2,2,2,2,2,2,5,5, 6,2
   21,1,6,1,"59",5,2,2,1,1,1,1,1,1,1,5,4, 6,4
   22,1,7,1,"59",5,2,3,2,1,1,1,1,1,1,5,5, 6,4
   23,2,6,2,"10",1,2,2,2,2,2,2,2,2,2,5,5, 6,2
   24,2,2,1,"59",5,2,2,2,2,1,1,2,2,2,5,4, 5,3
   25,2,6,2,"24",2,2,3,2,1,1,1,2,2,1,5,5, 6,2
   26,1,7,1,"24",2,1,2,2,1,1,1,1,1,1,5,5, 6,1
   27,2,3,2,"47",4,2,2,2,1,2,1,3,2,2,5,5, 5,7
   28,1,2,1,"35",3,1,1,2,1,1,1,1,1,1,5,3, 4,2
   29,1,4,3,"11",1,2,2,2,1,1,1,1,1,1,5,5, 4,3
   30,1,1,1,"48",4,1,1,2,1,2,2,1,1,1,5,4, 4,2
   31,2,4,2,"12",1,1,3,2,2,2,2,2,2,2,5,4, 4,2
   32,2,4,2,"12",1,2,3,2,2,2,2,2,2,2,5,3, 6,1
   33,1,6,1,"35",3,2,2,2,1,7,1,1,1,1,7,7, 5,5
   34,2,3,3,"11",1,2,2,2,1,1,1,1,1,1,5,3, 5,3
   35,1,1,2,"48",4,1,3,2,1,1,1,1,1,1,5,5, 4,2
   36,1,5,1,"24",2,1,2,2,1,1,1,2,1,1,5,5, 5,3
   37,2,5,2,"59",5,1,2,1,2,2,1,2,2,2,5,3, 3,2
   38,3,6,1,"35",3,1,3,1,3,7,7,7,7,1,1,1, 6,7
   39,1,4,1,"59",5,1,1,2,1,1,1,1,1,1,4,3, 3,1
   40,2,7,1,"12",1,2,2,2,2,3,2,2,2,2,5,3, 6,3
   41,1,5,1,"24",2,1,2,2,1,1,1,1,1,1,5,3, 4,2
   42,2,1,1,"24",2,2,2,2,1,1,2,1,1,1,5,3, 3,1
   43,1,1,3,"11",1,1,1,2,1,1,1,1,1,1,5,4, 3,1
   44,7,6,1,"46",4,2,2,2,7,7,7,2,7,7,5,4, 6,7
   45,2,4,1,"35",3,1,2,2,1,1,2,2,1,1,5,4, 4,2
   46,1,1,1,"13",1,2,1,2,1,1,1,1,1,1,5,4, 4,3
   47,1,1,1,"46",4,1,2,2,1,7,1,1,1,1,5,4, 3,3
   48,1,7,2,"24",2,1,2,2,1,1,1,7,1,1,5,5, 6,5
   49,1,3,1,"48",4,2,2,2,1,1,1,1,1,1,5,4, 4,3
   50,2,5,1,"24",2,1,3,2,2,2,1,1,1,1,5,3, 3,2
   51,1,6,1,"35",3,1,2,2,1,1,1,7,1,2,5,5, 6,3
   52,1,6,2,"12",1,2,2,2,1,1,1,1,1,1,5,5, 6,3
   53,3,6,1,"24",2,2,2,1,2,7,2,1,1,2,4,3, 2,3
   54,1,4,1,"35",3,2,1,2,1,1,1,2,1,1,5,3, 5,1
   55,2,2,1,"12",1,1,3,2,2,2,2,2,2,2,5,3, 4,3
   56,2,6,1,"35",3,2,2,2,1,1,1,1,1,1,5,4, 6,2
   57,1,4,1,"10",1,1,2,1,1,1,1,1,1,1,5,5, 4,3
   58,2,7,1,"46",4,2,3,2,2,7,1,2,1,1,5,5, 6,4
   59,2,3,1,"35",3,1,2,2,3,1,1,1,1,1,5,4, 5,2
   60,1,7,1,"48",4,2,3,2,1,1,1,1,1,1,5,4, 6,2
   61,1,5,2,"13",1,2,1,2,1,1,1,1,1,1,5,5, 5,1
   62,2,2,1,"59",5,2,2,2,2,2,2,1,1,1,5,1, 3,1
   63,2,1,1,"24",2,2,2,2,1,1,1,1,1,1,5,3, 4,2
   64,1,4,1,"35",3,1,7,2,1,7,7,7,1,1,5,5, 2,1
   65,2,2,1,"35",3,2,2,2,2,7,7,2,2,2,5,7, 4,3
   66,1,6,1,"12",1,1,2,2,1,1,1,1,1,1,5,2, 5,1
   67,2,3,1,"35",3,1,2,2,2,1,2,3,2,2,5,4, 4,3
   68,2,1,1,"24",2,1,2,2,1,1,2,1,1,2,5,4, 4,4
   69,2,3,1,"46",4,2,2,2,1,1,1,1,2,2,5,3, 4,2
   70,1,2,2,"48",4,1,2,2,1,1,1,1,1,1,5,5, 5,1
