CASEID,adp_010,cip_10,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65,eduf10,eduf5,edum10,edum5,edupr10,edupr5,eor_01a,eor_01b,eor_01c,eor_02,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25,totvic
    1,2,2,994,994,994,2,1,"59",5,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1, 8,4, 8,4, 2,1,6,6,6,6,3,2,1,2,2,3,1,2,5,5, 5,4,0
    2,6,1,994,994,994,2,3,"11",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 5,3, 5,3, 7,3,6,6,6,6,2,1,1,1,1,1,1,1,5,4, 5,4,0
    3,1,2,994,994,994,2,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 6,3, 6,3,96,6,6,6,6,6,2,1,2,7,1,3,2,2,5,3, 4,2,0
    4,6,2,994,994,994,5,2,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5, 9,5,97,7,6,6,6,6,2,2,1,2,1,1,1,1,5,5, 6,2,0
    5,2,2,994,994,994,5,2,"48",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,3,2,2,2,7,2,2,2,5,5, 5,1,0
    6,6,2,405,994,405,6,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,3,2,1,1,1,1,1,7,5,4, 6,3,1
    7,2,1,994,994,994,2,1,"47",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 3,2, 2,1,6,6,6,6,1,2,1,1,1,1,1,1,5,3, 3,2,0
    8,6,1,994,994,994,5,2,"10",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 8,4,6,6,6,6,2,2,1,1,1,2,1,1,5,4, 6,1,0
    9,6,2,994,994,994,5,2,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5, 9,5,6,6,6,6,4,1,2,2,2,2,2,2,5,5, 5,4,0
   10,2,1,994,994,994,2,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 6,3,6,6,6,6,1,2,1,1,2,2,1,2,5,3, 3,1,0
   11,6,1,994,994,994,5,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1,97,7, 8,4,6,6,6,6,2,2,2,1,1,2,2,2,5,3, 4,1,0
   12,6,2,994,994,994,5,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 3,2,6,6,6,6,2,1,2,2,2,2,2,2,5,4, 6,2,0
   13,6,1,994,994,994,3,1,"47",4,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2, 9,5, 8,4, 5,3,6,6,6,6,1,2,1,1,1,1,1,1,5,5, 5,3,0
   14,2,4,994,994,994,4,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 3,2,96,6,6,6,6,6,3,2,3,2,1,1,1,3,5,2, 4,1,0
   15,2,1,994,304,304,3,1,"35",3,1,1,1,2,2,2,2,2,2,2,2,2,1,7,2,2,2,2,2,7, 2,1,97,7,96,6,6,6,6,6,1,1,1,1,1,1,1,1,4,4, 4,3,1
   16,2,2,994,994,994,2,1,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,2,2,2,2,1,2,1,2,5,4, 5,2,0
   17,2,3,994,994,994,1,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,2,2,1,2,2,2,2,2,3,2,2,3,5,4, 4,3,0
   18,6,2,994,994,994,3,1,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 2,1, 1,1,6,6,6,6,1,2,1,1,2,1,1,2,5,4, 5,4,0
   19,6,1,994,994,994,3,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1,97,7, 2,1,6,6,6,6,2,1,1,1,1,1,1,1,5,4, 4,3,0
   20,6,2,994,994,994,6,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,10,5,6,6,6,6,2,2,2,2,2,2,2,2,5,5, 6,2,0
   21,3,1,994,994,994,6,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 9,5,96,6,6,6,6,6,2,1,1,1,1,1,1,1,5,4, 6,4,0
   22,6,1,994,994,994,7,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4, 2,1,6,6,6,6,3,2,1,1,1,1,1,1,5,5, 6,4,0
   23,2,2,994,994,994,6,2,"10",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5,96,6,6,6,6,6,2,2,2,2,2,2,2,2,5,5, 6,2,0
   24,2,2,994,994,994,2,1,"59",5,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2, 5,3, 2,1,96,6,6,6,6,6,2,2,2,1,1,2,2,2,5,4, 5,3,0
